"G magnitude","correction term DR2","correction term EDR3"
4.75,0.0585785034449968,0.0169666675105659
4.76,0.0582281973789797,0.0169342022470355
4.77,0.0578685680392933,0.0168971627222449
4.78,0.0575003007187215,0.0168556939849914
4.79,0.0571240807100486,0.016809941084072
4.8,0.0567405933060585,0.016760049068284
4.81,0.0563505232300225,0.016706219368178
4.82,0.0559545529271615,0.0166488789413186
4.83,0.0555533642731836,0.0165885111270241
4.84,0.0551476391437966,0.0165255992646126
4.85,0.0547380594147088,0.0164606266934021
4.86,0.0543252160915924,0.0163938048668702
4.87,0.0539093366999765,0.0163242576951314
4.88,0.0534905578953544,0.0162508372024595
4.89,0.0530690163458518,0.0161723941625047
4.9,0.0526448490101437,0.0160877505845718
4.91,0.0522181931374537,0.0159956997136201
4.92,0.0517891859896381,0.0158950335439852
